fen,action,score,result
8/b7/1w2ww2/3wb3/2bbb3/3w1b2/8/8 b,"(2, 5)",50
8/b7/1w2ww2/3wb3/1wbbbb2/3w1b2/8/8 w,"(6, 5)",100,1
2b2b2/2b2b2/1wbw2bw/b1w1w1b1/2b1bwww/1w1wbb1b/2w1w1w1/1bw2wbb w,"(3, 5)",50
2b2b2/2b2b2/1wbw2bw/b1w1w1b1/2b1bwww/1w1wbb1b/2w1w1w1/1bw2wbb b,"(4, 4)",-50
2b2b2/2b2b2/1wbw2bw/bbwww1b1/2b1bwww/1w1wbb1b/2w1w1w1/1bw2wbb w,"(2, 4)",50
2b2b2/2b2b2/1wbw2bw/bbwww1b1/2b1bwww/1w1wbb1b/2w1w1w1/1bw2wbb b,"(4, 5)",-100,-1
8/1w6/1wb5/2bb4/b1bw2w1/8/7b/1bw1w3 w,"(3, 4)",50
8/1w6/1wb5/2bb4/b1bw2w1/8/7b/1bw1w3 b,"(3, 2)",50
8/1ww5/1wb5/2bb4/b1bw2w1/2b5/7b/1bw1w3 w,"(3, 6)",100,1
w3wwbw/1bb2bw1/3b1w2/1b1w2w1/7b/1wb3w1/b2w4/2bbbw1b b,"(2, 8)",-50
w3wwbw/1bb2bw1/3b1w2/1b1wb1w1/7b/1wb3w1/b2w4/1wbbbw1b w,"(5, 4)",50
w3wwbw/1bb2bw1/3b1w2/1b1wb1w1/7b/1wb3w1/b2w4/1wbbbw1b b,"(2, 1)",50
ww2wwbw/1bb2bw1/3b1w2/1b1wb1w1/5b1b/1wb3w1/b2w4/1wbbbw1b w,"(6, 5)",100,1
w1b1w2w/2b1w1bb/b1w1w1bb/b1ww2b1/2w2w2/w5b1/bb6/8 b,"(2, 2)",-100,-1
5wwb/2bb2b1/1w4bw/2w3w1/2b1w1bw/4w3/bb1w1wb1/1wbbb1bw b,"(4, 5)",-100,-1
3w4/4w3/2wb1b2/1b2w3/w4b1b/3w1b1w/3w2bb/2b1wb2 b,"(6, 4)",50
3w4/4w3/2wb1b2/1b2ww2/w4b1b/3w1b1w/3w1bbb/2b1wb2 w,"(6, 7)",100,1
2b5/1w1wwb1w/bw1bbb1b/wb1b2w1/6bb/2w3b1/w1w1wb1w/5b1w b,"(3, 2)",-100,-1
5b1w/w7/8/1b1bb1w1/2w5/8/1b4bw/b1w5 w,"(4, 4)",50
5b1w/w7/8/1b1bb1w1/2w5/8/1b4bw/b1w5 b,"(5, 5)",50
5b1w/w7/8/1bbbb1w1/2w1w3/8/1b4bw/b1w5 w,"(3, 4)",100,1
bbw5/2w2wb1/w1bw3w/b2bb3/1b3w2/ww1b2bb/1wbw1ww1/b1b5 b,"(2, 2)",-50
bbw5/1ww2wb1/w1bw3w/b2bb3/1b1b1w2/ww1b2bb/1wbw1ww1/b1b5 w,"(4, 5)",50
bbw5/1ww2wb1/w1bw3w/b2bb3/1b1b1w2/ww1b2bb/1wbw1ww1/b1b5 b,"(5, 7)",-100,-1
2bb2ww/wwb2w2/1wb1bb1w/b2b4/1b2bwb1/1w1ww1b1/b5ww/b1w1wbb1 b,"(3, 4)",-50
2bb2ww/wwb2w2/1wb1bb1w/b1wb4/1b2bwb1/1wbww1b1/b5ww/b1w1wbb1 w,"(3, 6)",50
2bb2ww/wwb2w2/1wb1bb1w/b1wb4/1b2bwb1/1wbww1b1/b5ww/b1w1wbb1 b,"(4, 3)",-50
2bb2ww/wwb2w2/1wbwbb1w/b1wb4/1b1bbwb1/1wbww1b1/b5ww/b1w1wbb1 w,"(4, 5)",50
2bb2ww/wwb2w2/1wbwbb1w/b1wb4/1b1bbwb1/1wbww1b1/b5ww/b1w1wbb1 b,"(2, 7)",-50
2bb2ww/wwb2w2/1wbwbb1w/b1wb4/1bbbbwb1/1wbww1b1/bw4ww/b1w1wbb1 w,"(3, 5)",100,1
1b1bw3/b1bbw1bw/b6w/1wb1b1b1/bw1wb3/w1b2b2/2ww1w1w/ww1w1bb1 b,"(1, 4)",-50
1b1bw3/bbbbw1bw/b6w/wwb1b1b1/bw1wb3/w1b2b2/2ww1w1w/ww1w1bb1 w,"(2, 2)",100,1
1b1w2wb/1w1bwb2/2w1w3/w1bwb2w/1b2bb2/w1w1wb2/4wbbb/bb1ww1b1 b,"(1, 1)",-100,-1
3wbw2/b3w2b/8/1b2w1w1/b2bb1bb/3w4/2ww4/8 b,"(6, 3)",-100,-1
4wb2/wbw4b/2w2b2/1wbw4/2b4w/2w1b3/w3w1bb/b2w1bb1 b,"(4, 2)",-100,-1
8/5b2/8/8/3b3b/3w4/6w1/8 w,"(4, 5)",0
8/5b2/8/8/3b3b/3w4/6w1/8 b,"(5, 4)",0
8/5b2/3b4/4w3/3b3b/3w4/6w1/8 w,"(4, 3)",0
8/5b2/3b4/4w3/3b3b/3w4/6w1/8 b,"(3, 5)",0
8/5b2/3b4/3bw3/2wb3b/3w4/6w1/8 w,"(4, 4)",50
8/5b2/3b4/3bw3/2wb3b/3w4/6w1/8 b,"(5, 3)",50
8/3b1b2/3bw3/3bw3/2wb3b/3w4/6w1/8 w,"(4, 2)",100,1
8/5w2/8/2b5/8/4wbb1/wb6/8 w,"(3, 4)",0
8/5w2/8/2b5/8/4wbb1/wb6/8 b,"(4, 4)",0
8/5w2/8/2bwb3/8/4wbb1/wb6/8 w,"(5, 4)",0
8/5w2/8/2bwb3/8/4wbb1/wb6/8 b,"(4, 6)",0
8/5w2/8/2bwb3/3b4/3wwbb1/wb6/8 w,"(4, 5)",50
8/5w2/8/2bwb3/3b4/3wwbb1/wb6/8 b,"(3, 6)",-50
8/5w2/3b4/2bwb3/3b4/2wwwbb1/wb6/8 w,"(4, 3)",50
8/5w2/3b4/2bwb3/3b4/2wwwbb1/wb6/8 b,"(2, 6)",-100,-1
wb1w4/b3wbww/6b1/w1bbw3/b2w1wbb/bww1bb2/bbww4/bb2wwbw w,"(1, 7)",100,1
8/8/8/6w1/4b3/8/8/5b2 w,"(5, 5)",0
8/8/8/6w1/4b3/8/8/5b2 b,"(4, 5)",0
8/8/8/3b2w1/3wb3/8/8/5b2 w,"(4, 4)",0
8/8/8/3b2w1/3wb3/8/8/5b2 b,"(5, 4)",0
8/8/3b4/3bw1w1/3wb3/8/8/5b2 w,"(4, 3)",0
8/8/3b4/3bw1w1/3wb3/8/8/5b2 b,"(4, 6)",0
8/8/3b4/3bw1w1/2bwb3/3w4/8/5b2 w,"(3, 5)",0
8/8/3b4/3bw1w1/2bwb3/3w4/8/5b2 b,"(6, 4)",-50
8/8/3b4/3bwww1/2bwb3/3wb3/8/5b2 w,"(5, 6)",-50
